Type,Name,Address,Grade,District,AGA Division,PS/MC/UC,City,Tags,place_id
Travel Agents,ABERCROMBIE & KENT (PVT) LTD,"NO.54, WALUKARAMA ROAD, COLOMBO 03.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 03.,tour-operator travel-agents,24
Travel Agents,ACCRU HOLIDAYS PVT LTD,"63,EATHUKALA ROAD,NEGAMBO",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negambo,tour-operator travel-agents,25
Travel Agents,ACE HOLIDAY LANKA (PVT) LTD,"NO.2, LAKXMI GARDENS, BORELLE, COLOMBO 08",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,26
Travel Agents,ACE TRAVELS & CONVENTIONS (PVT) LTD,"NO.315, VAUXHALL STREET, COLOMBO 2",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,27
Travel Agents,ACME TRAVELS (PVT) LTD,"246, PARK ROAD, COLOMBO 05",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,28
Travel Agents,ACRUS TRAVEL & TOURS (PVT) LTD,"2/3,BUILDING NO:88,JUSICE AKBAR MAWATHA,COLOMBO 2",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,29
Travel Agents,ACTION LANKA.COM (PVT) LTD,"NO 366/3 RENDAPOLA,HORAGAHAKANDA LANE,THALANGAMA NORTH KOSWATTE.",Unrated,Colombo,Kotte Muncipal Council,Battaramulla,Thalangama North Koswatte.,tour-operator travel-agents,30
Travel Agents,ACTIVE VACATIONS LANKA (PVT) LTD,"NO.50, RAMYA MAWATHA, SUBUTHIPURA, BATTARAMULLA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Battaramulla,tour-operator travel-agents,31
Travel Agents,ADHVAN TOURS (PVT) LTD,"NO.129, DUTUGAMUNU STREET, DEHIWALA",Unrated,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,Dehiwala,tour-operator travel-agents,32
Travel Agents,ADITHYA LANKA HOLIDAYS (PVT) LTD,"NO.136/B, KANDY ROAD, KALALPITIYA, PASYALA",Unrated,Gampaha,Gampaha,Gampaha Divisional Secretariat,Pasyala,tour-operator travel-agents,33
Travel Agents,ADVENTA HOLDINGS (PVT) LTD,"NO:763/14,PANNIPITIYA ROAD, BATTARAMULLA.",Unrated,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,Battaramulla.,tour-operator travel-agents,34
Travel Agents,AERO LANKA TOURS AND TRAVELS (PVT) LTD,"NO.24, COL. T.G. JAYAWARDENA MAWATHA, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,35
Travel Agents,AERO LANKA TRAVEL SERVICE (PRIVATE) LIMITED,"NO.37/B, MUDALIGE MAWATHA, COLOMBO 01",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,36
Travel Agents,AGFORT ASIA (PVT) LTD,"NO.9B1, OLD QUARRY ROAD, MT LAVINIA.",Unrated,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,Mt Lavinia.,tour-operator travel-agents,37
Restaurants,AGLO RESTAURANT,"NO.271, KOHALAWAILA ROAD WELIKETIYA KELANIYA",A,Gampaha,Gampaha,Gampaha Divisional Secretariat,Kohalawaila Road Weliketiya Kelaniya,restaurant restaurants,38
Restaurants,AIDA RESTAURANT & BAR,"NO. 192, GALLE ROAD, BENTOTA",A,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,Bentota,nightlife restaurant restaurants,39
Travel Agents,AIMAN TRAVELS & TOURS,"NO:293/A-1/2,KADAWATHA ROAD,NEDIMALA,DEHIWALA",Unrated,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,Dehiwala,tour-operator travel-agents,40
Travel Agents,AIR EXPRESS TRAVELS,"NO. 5-1/ 21, FIRST FLOOR. KOTAHENA SUPER MARKET, COLOMBO 13",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,41
Travel Agents,AIR MARK TRAVELS & TOURS (PVT) LTD,"NO.94, CHATHAM STREET, COLOMBO 01",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,42
Travel Agents,AIR SOLUTIONS (PVT)LTD,"PERSHIP HOUSE,LEVEL 4,35,EDWARD LANE,COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,43
Travel Agents,AIRCOM TRAVELS & TOURS,"NO:2A, RATWAM ROAD,COLOMBO 13",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,44
Travel Agents,AIRPORT TOURIST DRIVERS ASSOCIATON,"NO.1454,COLOMBO ROAD,KURANA,KATUNAYAKE.",Unrated,Gampaha,Gampaha,Gampaha Divisional Secretariat,Katunayake.,tour-operator travel-agents,45
Travel Agents,AIRPORT TRAVELS (PVT) LTD,"NO.21, DEAL PLACE, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,46
Travel Agents,AIRTRAV (PVT) LTD,"NO.163, GALLE ROAD, COLOMBO 3",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,47
Travel Agents,AIRWING TOURS (PVT) LTD,"NO.68, COLOMBO ROAD, NEGOMBO",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negombo,tour-operator travel-agents,48
Travel Agents,AITKEN SPENCE TRAVELS (PVT) LTD,"NO.315, VAUXHALL STREET, COLOMBO 02",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,49
Travel Agents,AJWA TRAVELS,"NO. 20/2A/1, GOTHAMI MAWATHA, KITTHAMPAHUWA, WELLAMPITIYA",Unrated,Colombo,Kolonnawa,Kolonnawa Divisional Secretariat,Wellampitiya,tour-operator travel-agents,50
Travel Agents,AKIYO LANKA (PVT) LTD,"534,LIO ROAD,SINHARAMULLA,KELANIYA",Unrated,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,Kelaniya,tour-operator travel-agents,51
Travel Agents,AKQUASUN LANKA (PVT) LIMITED,"L12, EAST TOWER, WORLD TRADE CENTER, COLOMBO 01",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,52
Travel Agents,AKTIV REISEN SRI LANKAN TRAVEL AND TOURS,"NO.101 MADIWELA ROAD UDAHAMULLA, NUGEGODA.",Unrated,Colombo,Maharagama,Moratuwa Divisional Secretariat,Nugegoda.,tour-operator travel-agents,53
Travel Agents,AL - HUDA TRAVELS & TOURS,"NO. 83/ G1, MALIGAKANDA ROAD, MARADANA, COLOMBO 10",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,54
Travel Agents,AL - KUBRAAH INTERNATIONAL TOURS & TRAVELS,"NO.155, BEAUTY ARCADE, 2ND FLOOR, MAIN STREET, COLOMBO 11",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,55
Travel Agents,AL ARAFATH TRAVELS & TOURS (PVT) LTD,"NO. 190, GRANDPASS, COLOMBO 14",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,56
Travel Agents,AL BAYAN TRAVELS AND TOURS,"NO:198,MAIN STREET,ERAVUR",Unrated,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,Eravur,tour-operator travel-agents,57
Travel Agents,AL FAKHAMA HOLIDAYS,"NO 174, COLOMBO ROAD, UKWATTA, AVISSAWELLA",Unrated,Colombo,Seethawaka Pradeshiya Sabha,Seethawaka Divisional Secretariat,Avissawella,tour-operator travel-agents,58
Travel Agents,AL FALAH TRAVELS & TOURS,"NO 501,2ND DIVISION,MARADANA,COLOMBO 10",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,59
Travel Agents,AL JANNAH TRAVELS & TOURS (PVT) LTD,"NO.10/1/2,STATION ROAD,MORATUWA.",Unrated,Colombo,Moratuwa,Moratuwa Divisional Secretariat,Moratuwa.,tour-operator travel-agents,60
Travel Agents,AL MASHRIQ TOURS (PVT) LTD,"3, 1/1, MESSENGER STREET, COLOMBO 12",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,61
Travel Agents,AL RAHAMATH TRAVELS & TOURS,"NO.194/A4, BANDARANAYAKE MAWATHA, COLOMBO 12",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,62
Travel Agents,AL RIFA TRAVELS,"NO 87,MAIN STREET,MAWANELLA",Unrated,Kegalle,Kegalle,Mawanella Divisional Secretariat,Mawanella,tour-operator travel-agents,63
Travel Agents,AL ZIYAARA TOURS AND TRAVELS (PVT) LTD,"118/2,COLOMBO ROAD,MAHAMODARA,GALLE.",Unrated,Galle,Galle,Galle Divisional Secretariat,Galle.,tour-operator travel-agents,64
Travel Agents,AL- ZAAMIL LANKA TOURS & TRAVELS (PVT) LTD,"NO. 38 1/2 & 38 1/2A, SECOND FLOOR, SYMONDS ROAD, MARADANA COLOMBO",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Maradana Colombo,tour-operator travel-agents,65
Travel Agents,AL-AQSA GLOBAL (PVT)LTD,"NO. 86 A 1/1, WATARAPPALA ROAD, MOUNT LAVINIA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Mount Lavinia,tour-operator travel-agents,66
Travel Agents,AL-HAFIL TRAVEL AND TOURS(HAJ UMRA),"21/A/2,HASSAN MAWATHA,MAWANELLA",Unrated,Kegalle,Kegalle,Kegalle Divisional Secretariat,Mawanella,tour-operator travel-agents,67
Travel Agents,AL-HALEEM LANKA TRAVELS AND TOURS,"NO 71/5J-6/1 HIGH WAY COMPLEX,1ST FLOOR,NEW KANDY ROAD,MAWANELLA",Unrated,Kegalle,Mawathagama Pradeshiya Sabha,Mawanella Divisional Secretariat,Mawanella,tour-operator travel-agents,68
Travel Agents,AL-HARAMAIN TRAVELS & TOURS,"23/1.GALLE ROAD (NEAR)WILLIAM GRINDING MILLS,DEHIWALA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Dehiwala,tour-operator travel-agents,69
Travel Agents,AL-HIKMA HAJ SERVICES (PVT) LTD,"NO.219,COLOMBO ROAD,KALUWELLA,GALLE.",Unrated,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,Galle.,tour-operator travel-agents,70
Travel Agents,AL-KASWA TRAVELS AND TOURS,"NO.09,COLOMBO ROAD,MADURANKULI.",Unrated,Puttalam,Puttalam Pradeshiya Sabha,Mundalama Divisional Secretariat,Madurankuli.,tour-operator travel-agents,71
Travel Agents,AL-QIMMAH TOURS & TRAVELS (PVT) LTD,"M.P.C.S ROAD,MAWADICHENAI,VALAICHENAI,SRI LANKA.",Unrated,Batticaloa,Batticaloa,Koralai Pattu Divisional Secretariat,Sri Lanka.,tour-operator travel-agents,72
Travel Agents,ALDRICH TRAVELS & TOURS,"NO. 07, GALLE FACE COURT - 02, GALLE FACE, GALLE ROAD, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,73
Travel Agents,ALOHIL TRAVELS AND TOURS PVT LTD,"LEVEL 2-30,REALTY PLAZA,COLOMBO ROAD,JA ELA",Unrated,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,Ja Ela,tour-operator travel-agents,74
Travel Agents,ALOYS TRAVEL SERVICE (PVT) LTD,"NO. 66, BANGALAWATTA ROAD, MABOLA, WATTALA",Unrated,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,Wattala,tour-operator travel-agents,75
Travel Agents,ALPHA TOURS(PVT)LTD,"7TH FLOOR,EAST TOWER,WORLD TRAD CENTRE,COLOMBO 01",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,76
Travel Agents,ALPHA TRAVELS & HOLIDAYS( PVT ) LTD,"49/16, ICELAND BUILDING, GALLE ROAD, COLOMBO 03, SRI LANKA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Sri Lanka,tour-operator travel-agents,77
Restaurants,ALT SAABRUCKEN GERMAN RESTAURANT,"PORUTOTA ROAD, ETTUKALA, NEGOMBO",A,Gampaha,Negombo,Negombo Divisional Secretariat,Negombo,restaurant restaurants,78
Travel Agents,AMADIV HOLIDAYS LANKA (PVT) LTD,"NO. 150, 2ND FLOOR, GREENS ROAD, NEGOMBO",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negombo,tour-operator travel-agents,79
Travel Agents,AMAGO TOURS PVT LTD,"85A FOURTH FLOOR,DUTUGEMUNU STREET,KOHUWALA",Unrated,Colombo,Dehiwala-Mount Lavinia,Thimbirigasyaya Divisional Secretariat,Kohuwala,tour-operator travel-agents,80
Restaurants,AMAL VILLA RESTAURANT,"ROBOLGODA, BENTOTA",A,Galle,Galle,Galle Divisional Secretariat,Bentota,restaurant restaurants stay,81
Travel Agents,AMANA TRAVELS & TOURS,"NO. 37, KOLONNAWA ROAD, KOLONNAWA",Unrated,Colombo,Kolonna Pradeshiya Sabha,Kolonnawa Divisional Secretariat,Kolonnawa,tour-operator travel-agents,82
Travel Agents,AMANATH TOURS & TRAVELS,"NO. 229, 2/9, 2ND FLOOR SANTHOSH PLAZA, MAIN STREET, COLOMBO 11",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,83
Restaurants,AMARAVATHI RESTAURANT,"NO 02,MILE POST AVENUE,COLOMBO 02",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurant restaurants,84
Travel Agents,AMASUN REISEN (PRIVATE) LIMITED,"NO:17,THUSARA MAWATHA,NEGAMBO",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negambo,tour-operator travel-agents,85
Travel Agents,AMAYA DESH TOURS (PVT) LTD,"24,CINNAMON GARDEN, KALUWARIPPUWA-EAST,KATANA,KATANA",Unrated,Gampaha,Negombo,Katana Divisional Secretariat,Katana,tour-operator travel-agents,86
Travel Agents,AMAZING WORLD TRAVEL (PVT) LTD,"552/01 B1/01 - E.W. PERERA MAWATHA, KOTTE",Unrated,Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura,Kotte,tour-operator travel-agents,87
Restaurants,AMBA SEVANA RESTAURANT,"154/A,KANDY ROAD,DALUGAMA,KELANIYA",B,Gampaha,Gampaha,Gampaha Divisional Secretariat,Kelaniya,restaurant restaurants,88
Restaurants,AMBEPUSSA AVANHALA,"AMBEPUSSA,WARAKAPOLA",A,Kegalle,Kegalle,Warakapola Divisional Secretariat,Warakapola,restaurants,89
Travel Agents,AMC HOLIDAYS (PVT ) LTD,"NO 7/2-1, CHARLES TERRACE, ALFRED PLACE, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,90
Travel Agents,AMEEN TRAVELS,"NO:133/17,D.B.WELAGEDARA MAWATHA,KURUNEGALA",Unrated,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,Kurunegala,tour-operator travel-agents,91
Travel Agents,AMERASIAN TRAVELS (PVT) LTD,"NO.61/9, DHARMAPALA, MAWATHA, COLOMBO 3",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,92
Travel Agents,AMERICAN LLOYD TRAVELS LTD,"NO. 8-1/3, YORK ARCADE BUILDING, LEYDEN BASTIAN ROAD, COLOMBO 01",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,93
Restaurants,AMIRU RESTAURANT,"NO.37/13, PUBUDU MAWATHA, MATTEGODA, POLGASOVITA",A,Colombo,Maharagama,Maharagama Divisional Secretariat,Polgasovita,restaurant restaurants,94
Tourist Shops,AMITH GEMS,"644,PERADENIYA ROAD,KANDY.",Unrated,Kandy,Kandy,Kandy Divisional Secretariat,Kandy.,tourist-shops,95
Travel Agents,AMITH TOURS AND TRAVELS,"NO.375/1, GALLE ROAD, ALUTHGAMA",Unrated,Kalutara,Aluthgama,Aluthgama,Aluthgama,tour-operator travel-agents,96
Travel Agents,AMJA TRAVELS (PRIVAT) LIMITED,"NO.22, DIAS PLACE, GUNASINHAPURA, COLOMBO-12",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo-,tour-operator travel-agents,97
Travel Agents,AMJL TOURS,"282/3 DEVALA ROAD,KALUWAMODARA ALUTHGAMA",Unrated,Colombo,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,Kaluwamodara Aluthgama,tour-operator travel-agents,98
Travel Agents,AMPLE GROUP LANKA (PVT) LTD,"NO:390,2/1(2ND FLOOR),GALLE ROAD,COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,99
Travel Agents,AMRIAZ TRAVELS & TOURS,"NO. 476 -D/1, MARADANA, SHOPPING CENTER, COLOMBO 10",Unrated,Colombo,Colombo,Maradana,Colombo,tour-operator travel-agents,100
Restaurants,AMRITH INDIAN RESTAURANT,"NO. 147, VAJIRA ROAD, COLOMBO 05",A,Colombo,Colombo,Mount Lavinia,Colombo,asian-cuisine restaurant restaurants,101
Restaurants,AMUSEUM,"9TH FLOOR, GREEN LANKA BUILDING,NAWAM MAWATHA,COLOMBO 02",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurants,102
Spa & Wellness Centers,ANANTARA SPA-KALUTHARA,"ST.SEBASTIANS'S ROAD, KATUKURUNDA, KALUTHARA",Unrated,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,Kaluthara,spa-and-wellness-centers wellness,103
Spa & Wellness Centers,ANANTARA SPA-TANGALLE,"GOYAMBOKKA ESTATE, TANGALLE.",Unrated,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,Tangalle.,spa-and-wellness-centers wellness,104
Spa & Wellness Centers,ANANTAYA COCO SPA,"BANGADENIYA,CHILAW",Unrated,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,Chilaw,spa-and-wellness-centers wellness,105
Restaurants,ANARGAYA RESTAURENT,"BATADUWA,BATAPOLA",B,Galle,Ambalangoda,Ambalangoda Divisional Secretariat,Batapola,restaurants,106
Travel Agents,ANCIENT LANKA TOURS & TRAVELS (PVT) LTD,"NO:530/8,12TH LANE,DAMINNAGAHAWATTA,KIMBULLAPITIYA",Unrated,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,Kimbullapitiya,tour-operator travel-agents,107
Travel Agents,ANDREW THE TRAVEL COMPANY (PVT) LTD,"NO: 130, LEVEL 1, NAWALA ROAD, NARAHENPITA, COLOMBO 5",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,108
Spa & Wellness Centers,ANGSANA SPA,"NO.75 B, GALLE ROAD, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,spa-and-wellness-centers wellness,109
Restaurants,ANKARA TURKISH RESTAURANT,25 MILAGIRIYA AVENUE COLOMBO 04,A,Colombo,Colombo,Colombo Divisional Secretariat,25 Milagiriya Avenue Colombo,restaurant restaurants,110
Restaurants,APEX RESTAURANT,"1173, MARADANA ROAD, COLOMBO 08",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurant restaurants,111
Travel Agents,APPLE HOLIDAYS (PRIVATE) LIMITED,"NO.148 ,ALUTHMAWATHA ROAD, COLOMBO-15",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo-,tour-operator travel-agents,112
Water Sports Centers,AQUA SPORTREIZEN,"29B,S.DE.S. JAYASINGHE MAWATHA,KALUBOWILA,DEHIWALA.",Unrated,Kalutara,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,Dehiwala.,water-sports-centers watersport,113
Water Sports Centers,AQUA SPORTREIZEN,"NO. 07,COCONAT BOARD ROAD,KALKUDHA,PASSIKUDA",Unrated,Batticaloa,Koralai Pattu,Koralai Pattu Divisional Secretariat,Passikuda,water-sports-centers watersport,114
Travel Agents,AR TRAVELS & TOURS,"NO.310/2A1/1, GEORGE R DE SILVA MAWATHA, COLOMBO 13",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,115
Travel Agents,ARAB TRAVELS GLOBAL (PVT) LTD,"NO:277, 1ST DIVISION, MARADANA, COLOMBO 10",Unrated,Colombo,MC,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,116
Travel Agents,ARABLANKA TOURS & TRAVELS,"NO 132/A, KAWDANA ROAD, DEHIWALA",Unrated,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,Dehiwala,tour-operator travel-agents,117
Travel Agents,ARALIYA HOLIDAYS (PVT) LTD,"ARALIYA GROUP CO-OPERATE OFFICE,NO.01-07,1ST FLOOR,LIBERTY PLAZA,CLOMBO 03.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Clombo 03.,tour-operator travel-agents,118
Spa & Wellness Centers,ARIYAANA,"WATERS EDGE LIMITED,316,ETHUL KOTTE ROAD,BATTARAMULLA",Unrated,Colombo,Kaduwela Pradeshiya Sabha,Colombo Divisional Secretariat,Battaramulla,spa-and-wellness-centers wellness,119
Spa & Wellness Centers,ARIYANNA SPA - WATER GARDEN,"INDIGASWEWA,SIGIRIYA.",Unrated,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,Sigiriya.,garden spa-and-wellness-centers watersport wellness,120
Spa & Wellness Centers,ARIYANNA SPA-THE BLUE WATER,"THALPITIYA,WADDUWA",Unrated,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,Wadduwa,spa-and-wellness-centers watersport wellness,121
Restaurants,ARPICO FOOD COURT,"679,PERADENIYA RD,KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat,Kandy,restaurant restaurants,122
Restaurants,ARRIRANG RESTURANT,"NO.16,ABDUL GAFFOOR MAWATHA,COLOMBO",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurants,123
Tourist Shops,ART LANKA,"NO. 951, PERADENIYA ROAD,KANDY",Unrated,Kandy,Kandy,Kandy Divisional Secretariat,Kandy,shopping tourist-shops,124
Spice Gardens,ARUNALU SPICE GARDEN,"NO. 80, MADAWALA ULPATHA, MATALE",Unrated,Matale,Matale,Matale Divisional Secretariat,Matale,garden spice-gardens,125
Travel Agents,ASGA INTERNATIONAL,"NO. 312/B/1, KANDY ROAD, KADAWATHA",Unrated,Gampaha,Biyagama Pradeshiya Sabha,Biyagama Divisional Secretariat,Kadawatha,tour-operator travel-agents,126
